iter	Passed	Remaining
220	4183	56435
221	4200	56388
222	4217	56340
223	4234	56302
224	4252	56260
225	4268	56204
226	4284	56153
227	4304	56145
228	4323	56127
229	4341	56096
230	4358	56051
231	4374	56005
232	4391	55952
233	4409	55926
234	4424	55865
235	4441	55824
236	4459	55791
237	4477	55758
238	4493	55713
239	4513	55703
240	4542	55811
241	4561	55788
242	4579	55761
243	4596	55726
244	4614	55697
245	4635	55696
246	4651	55653
247	4667	55598
248	4690	55627
249	4707	55581
250	4726	55573
251	4745	55550
252	4763	55523
253	4783	55513
254	4804	55523
255	4821	55484
256	4838	55440
257	4854	55388
258	4870	55342
259	4887	55307
260	4903	55251
261	4920	55215
262	4933	55131
263	4949	55084
264	4966	55045
265	4982	54998
266	5003	54996
267	5020	54962
268	5036	54913
269	5054	54889
270	5071	54848
271	5088	54808
272	5105	54772
273	5127	54793
274	5144	54755
275	5162	54729
276	5190	54805
277	5209	54794
278	5238	54879
279	5262	54917
280	5293	55026
281	5311	54999
282	5334	55018
283	5350	54979
284	5367	54940
285	5385	54905
286	5401	54863
287	5417	54817
288	5434	54779
289	5451	54737
290	5467	54696
291	5484	54653
292	5501	54624
293	5521	54613
294	5538	54581
295	5555	54537
296	5573	54512
297	5590	54475
298	5606	54437
299	5622	54390
300	5640	54358
301	5657	54327
302	5675	54299
303	5698	54323
304	5717	54310
305	5736	54292
306	5757	54290
307	5784	54352
308	5801	54320
309	5820	54298
310	5839	54280
311	5863	54308
312	5879	54264
313	5895	54226
314	5913	54193
315	5929	54157
316	5946	54122
317	5965	54102
318	5982	54070
319	6001	54052
320	6019	54026
321	6037	53997
322	6056	53981
323	6078	53994
324	6095	53958
325	6111	53916
326	6128	53880
327	6144	53835
328	6160	53795
329	6174	53735
330	6190	53693
331	6206	53656
332	6222	53611
333	6238	53570
334	6259	53571
335	6273	53507
336	6290	53477
337	6305	53430
338	6322	53393
339	6338	53354
340	6355	53319
341	6370	53277
342	6391	53276
343	6405	53218
344	6425	53208
345	6441	53169
346	6457	53131
347	6474	53098
348	6487	53037
349	6503	52996
350	6518	52949
351	6536	52921
352	6556	52917
353	6570	52858
354	6589	52847
355	6603	52787
356	6619	52753
357	6636	52723
358	6656	52711
359	6669	52648
360	6685	52617
361	6703	52587
362	6718	52544
363	6734	52506
364	6752	52481
365	6769	52451
366	6785	52414
367	6805	52411
368	6821	52373
369	6835	52317
370	6855	52309
371	6871	52276
372	6888	52242
373	6904	52210
374	6921	52177
375	6938	52148
376	6955	52118
377	6970	52073
378	6986	52036
379	7000	51984
380	7022	51996
381	7042	51992
382	7060	51967
383	7078	51946
384	7094	51908
385	7110	51876
386	7130	51868
387	7147	51834
388	7168	51839
389	7184	51801
390	7198	51751
391	7217	51739
392	7231	51687
393	7247	51654
394	7263	51617
395	7279	51582
396	7296	51551
397	7313	51522
398	7330	51495
399	7346	51462
400	7363	51431
401	7382	51422
402	7399	51389
403	7420	51390
404	7436	51361
405	7453	51328
406	7469	51295
407	7486	51268
408	7503	51241
409	7520	51212
410	7538	51193
411	7555	51167
412	7571	51133
413	7589	51107
414	7606	51084
415	7624	51059
416	7640	51026
417	7656	50996
418	7672	50960
419	7688	50929
420	7706	50904
421	7724	50888
422	7752	50935
423	7770	50911
424	7788	50890
425	7804	50859
426	7821	50831
427	7839	50808
428	7855	50778
429	7873	50754
430	7895	50762
431	7912	50735
432	7928	50703
433	7944	50668
434	7957	50617
435	7978	50613
436	7998	50611
437	8014	50576
438	8031	50549
439	8049	50529
440	8064	50490
441	8084	50481
442	8103	50469
443	8120	50440
444	8137	50414
445	8158	50417
446	8175	50389
447	8192	50359
448	8208	50329
449	8225	50305
450	8242	50276
451	8258	50243
452	8274	50213
453	8287	50165
454	8309	50166
455	8325	50136
456	8341	50104
457	8358	50078
458	8374	50048
459	8392	50025
460	8408	49995
461	8425	49969
462	8441	49940
463	8457	49907
464	8473	49874
465	8489	49846
466	8505	49815
467	8519	49767
468	8539	49760
469	8552	49712
470	8568	49680
471	8585	49656
472	8604	49644
473	8617	49596
474	8638	49592
475	8653	49554
476	8670	49534
477	8687	49506
478	8704	49480
479	8723	49467
480	8739	49441
481	8757	49417
482	8772	49382
483	8788	49355
484	8805	49327
485	8824	49312
486	8843	49300
487	8861	49280
488	8877	49252
489	8893	49223
490	8915	49225
491	8931	49197
492	8948	49171
493	8964	49143
494	8981	49117
495	8996	49083
496	9014	49063
497	9031	49041
498	9049	49018
499	9066	48997
500	9084	48975
501	9103	48965
502	9124	48958
503	9153	48998
504	9172	48985
505	9191	48974
506	9216	48990
507	9237	48989
508	9272	49057
509	9299	49088
510	9318	49069
511	9336	49052
512	9363	49081
513	9381	49062
514	9447	49292
515	9477	49336
516	9494	49310
517	9512	49289
518	9529	49263
519	9544	49229
520	9561	49202
521	9579	49179
522	9594	49147
523	9611	49123
524	9628	49097
525	9645	49069
526	9661	49042
527	9678	49013
528	9694	48986
529	9712	48967
530	9731	48952
531	9749	48931
532	9766	48908
533	9784	48886
534	9809	48899
535	9826	48877
536	9843	48850
537	9860	48824
538	9876	48797
539	9893	48772
540	9910	48747
541	9926	48719
542	9943	48692
543	9960	48666
544	9979	48652
545	9996	48626
546	10012	48597
547	10029	48573
548	10045	48545
549	10062	48520
550	10080	48501
551	10097	48476
552	10118	48470
553	10137	48453
554	10157	48443
555	10174	48419
556	10190	48393
557	10207	48366
558	10228	48363
559	10246	48340
560	10263	48316
561	10277	48277
562	10294	48252
563	10312	48234
564	10333	48228
565	10351	48207
566	10368	48183
567	10385	48160
568	10401	48133
569	10420	48116
570	10435	48084
571	10454	48068
572	10470	48041
573	10487	48015
574	10506	48001
575	10522	47973
576	10538	47943
577	10555	47920
578	10573	47899
579	10590	47876
580	10607	47850
581	10624	47827
582	10642	47809
583	10660	47788
584	10681	47782
585	10702	47778
586	10719	47755
587	10738	47739
588	10756	47719
589	10780	47726
590	10796	47700
591	10813	47672
592	10834	47669
593	10863	47695
594	10880	47673
595	10899	47659
596	10915	47629
597	10932	47604
598	10954	47603
599	10976	47600
600	10997	47594
601	11016	47578
602	11032	47552
603	11049	47529
604	11067	47506
605	11083	47479
606	11103	47468
607	11122	47452
608	11138	47426
609	11154	47399
610	11179	47406
611	11197	47387
612	11214	47365
613	11231	47341
614	11248	47317
615	11267	47300
616	11285	47280
617	11304	47265
618	11323	47253
619	11341	47233
620	11359	47213
621	11379	47199
622	11395	47174
623	11415	47162
624	11434	47145
625	11449	47114
626	11467	47094
627	11483	47068
628	11500	47043
629	11518	47024
630	11538	47011
631	11560	47009
632	11578	46992
633	11599	46981
634	11616	46958
635	11631	46929
636	11649	46909
637	11666	46886
638	11684	46867
639	11704	46856
640	11722	46834
641	11738	46806
642	11755	46785
643	11774	46769
644	11795	46762
645	11815	46750
646	11832	46727
647	11852	46714
648	11870	46696
649	11887	46671
650	11904	46648
651	11924	46635
652	11940	46611
653	11957	46588
654	11973	46558
655	11991	46538
656	12007	46512
657	12025	46493
658	12042	46469
659	12058	46442
660	12072	46410
661	12091	46392
662	12106	46364
663	12123	46338
664	12139	46314
665	12157	46294
666	12173	46268
667	12188	46235
668	12207	46219
669	12224	46198
670	12240	46172
671	12256	46144
672	12273	46119
673	12288	46091
674	12307	46076
675	12327	46063
676	12342	46034
677	12357	46003
678	12376	45987
679	12394	45969
680	12415	45960
681	12432	45937
682	12448	45911
683	12465	45888
684	12482	45865
685	12502	45853
686	12519	45832
687	12538	45815
688	12553	45787
689	12569	45759
690	12586	45737
691	12603	45715
692	12621	45694
693	12645	45698
