iter	RMSE
219	5.089891656
220	5.087584339
221	5.084794934
222	5.082409295
223	5.080408321
224	5.078659134
225	5.076081679
226	5.073778077
227	5.071540483
228	5.068152222
229	5.066417351
230	5.063300509
231	5.060445549
232	5.05714276
233	5.054983666
234	5.052940247
235	5.049948589
236	5.047918792
237	5.04502172
238	5.042415535
239	5.0396985
240	5.036402243
241	5.033699444
242	5.031512208
243	5.02918997
244	5.027534514
245	5.024992871
246	5.021883881
247	5.019402672
248	5.016666929
249	5.013987999
250	5.011415081
251	5.008848584
252	5.00549387
253	5.003639205
254	5.001306261
255	5.000147958
256	4.997799806
257	4.996491881
258	4.993815121
259	4.991972997
260	4.989557327
261	4.987443888
262	4.985272859
263	4.983101482
264	4.98019276
265	4.978139614
266	4.975379234
267	4.973501643
268	4.971524488
269	4.969739079
270	4.967426396
271	4.96522063
272	4.96306317
273	4.961095234
274	4.958989667
275	4.956924279
276	4.954855922
277	4.952804018
278	4.951016226
279	4.94853927
280	4.947146567
281	4.94564807
282	4.943237822
283	4.941689394
284	4.940024543
285	4.937445254
286	4.935432048
287	4.933395949
288	4.931446571
289	4.929130446
290	4.926945981
291	4.924993293
292	4.922886374
293	4.920927528
294	4.919241399
295	4.91711882
296	4.915482817
297	4.914045234
298	4.912484113
299	4.910191851
300	4.908641203
301	4.907078971
302	4.905436732
303	4.903734175
304	4.902163685
305	4.900374616
306	4.898285426
307	4.896787358
308	4.895055588
309	4.8928899
310	4.890932916
311	4.888481503
312	4.885982613
313	4.884274343
314	4.882766937
315	4.881624046
316	4.879615471
317	4.877849168
318	4.875731971
319	4.873926161
320	4.872294788
321	4.870202434
322	4.868524931
323	4.86703655
324	4.865654699
325	4.863584788
326	4.862405794
327	4.860789886
328	4.859236979
329	4.857145756
330	4.855946154
331	4.853763476
332	4.851785792
333	4.850683416
334	4.84934381
335	4.847420477
336	4.846062733
337	4.84465227
338	4.84301812
339	4.840876292
340	4.839061636
341	4.837617838
342	4.836392575
343	4.834461314
344	4.832908125
345	4.831225237
346	4.829296233
347	4.827581962
348	4.826392782
349	4.824676398
350	4.823326012
351	4.822372089
352	4.820741679
353	4.819232041
354	4.818033215
355	4.816198029
356	4.814241161
357	4.811911708
358	4.810544716
359	4.808847334
360	4.807185343
361	4.805533486
362	4.80403925
363	4.802734149
364	4.801493306
365	4.799749373
366	4.798226447
367	4.79680565
368	4.795049747
369	4.793791825
370	4.79216025
371	4.790414943
372	4.788758391
373	4.787364849
374	4.786092754
375	4.784606942
376	4.783195664
377	4.78116165
378	4.779881819
379	4.777630987
380	4.776108972
381	4.774609744
382	4.773107859
383	4.771800549
384	4.770179432
385	4.768621728
386	4.76667834
387	4.765045464
388	4.763746744
389	4.761982566
390	4.760440822
391	4.759222799
392	4.757827817
393	4.756388367
394	4.754963538
395	4.75358268
396	4.752228413
397	4.750463098
398	4.748987182
399	4.747562645
400	4.746473457
401	4.745072998
402	4.744016251
403	4.74217947
404	4.740706481
405	4.739379848
406	4.737884424
407	4.736776952
408	4.735439927
409	4.734043766
410	4.732448796
411	4.730926747
412	4.729616451
413	4.727707508
414	4.725942028
415	4.724374789
416	4.722756341
417	4.721531757
418	4.720429453
419	4.719073416
420	4.718097624
421	4.716689372
422	4.71504472
423	4.714033923
424	4.712458609
425	4.711455805
426	4.710365393
427	4.708627938
428	4.707668991
429	4.706394528
430	4.705112904
431	4.70377655
432	4.702338634
433	4.701078114
434	4.698978241
435	4.697486625
436	4.696101412
437	4.694980749
438	4.693996612
439	4.692586531
440	4.690305414
441	4.688622558
442	4.687443945
443	4.685811787
444	4.684885101
445	4.683326894
446	4.681922838
447	4.680259117
448	4.679304716
449	4.678026032
450	4.676759438
451	4.675038685
452	4.673326714
453	4.671873999
454	4.670650444
455	4.669669005
456	4.668585287
457	4.667545415
458	4.666201819
459	4.665004112
460	4.663764044
461	4.662479499
462	4.66120164
463	4.659816363
464	4.658345987
465	4.656810929
466	4.65532038
467	4.654076609
468	4.652875301
469	4.651896204
470	4.650318925
471	4.648870891
472	4.647453858
473	4.646397059
474	4.645563005
475	4.643981166
476	4.642944939
477	4.642049377
478	4.64084592
479	4.639799189
480	4.638713315
481	4.637819187
482	4.636784479
483	4.635858127
484	4.634814292
485	4.633743345
486	4.632267429
487	4.630949026
488	4.629838687
489	4.628696985
490	4.62771793
491	4.626967868
492	4.62600618
493	4.624840313
494	4.623764636
495	4.622849065
496	4.621933474
497	4.620745113
498	4.619703029
499	4.6188493
500	4.617857176
501	4.616261804
502	4.615282049
503	4.614168102
504	4.61308735
505	4.612123414
506	4.611098466
507	4.609982375
508	4.608780577
509	4.607309452
510	4.605792844
511	4.605078078
512	4.604129636
513	4.603078281
514	4.601654602
515	4.600554537
516	4.599499934
517	4.598371297
518	4.59723995
519	4.596336294
520	4.595162736
521	4.594207539
522	4.593136541
523	4.591907434
524	4.590970403
525	4.589868428
526	4.588561084
527	4.587741711
528	4.586680097
529	4.585463897
530	4.584188159
531	4.582905719
532	4.581819708
533	4.580821028
534	4.579817897
535	4.578963898
536	4.578013792
537	4.577098846
538	4.576333317
539	4.575461554
540	4.574114549
541	4.573152999
542	4.572057332
543	4.570970702
544	4.570015507
545	4.5688742
546	4.567515456
547	4.566840913
548	4.56564589
549	4.564464115
550	4.563180054
551	4.562015296
552	4.56119933
553	4.560296545
554	4.559246206
555	4.558017287
556	4.557188659
557	4.555981938
558	4.554662902
559	4.553742445
560	4.553040637
561	4.55160786
562	4.550308371
563	4.548764889
564	4.547104274
565	4.545613353
566	4.544842685
567	4.543844413
568	4.542553046
569	4.541579394
570	4.540689133
571	4.539623086
572	4.53830932
573	4.537107439
574	4.536092833
575	4.535394542
576	4.534373631
577	4.533396743
578	4.532480029
579	4.531575802
580	4.530174594
581	4.528837832
582	4.527759936
583	4.526707813
584	4.525742617
585	4.524730077
586	4.523828093
587	4.523058165
588	4.522249352
589	4.521079657
590	4.519566785
591	4.518624655
592	4.517766682
593	4.517109475
594	4.51602267
595	4.514907027
596	4.513718907
597	4.512788446
598	4.511331313
599	4.51033571
600	4.509381894
601	4.508211011
602	4.507121563
603	4.50628308
604	4.505372271
605	4.504572534
606	4.503393611
607	4.502312273
608	4.50128883
609	4.500283382
610	4.499540419
611	4.498346085
612	4.497127389
613	4.495733193
614	4.494712233
615	4.493800738
616	4.492931884
617	4.492032479
618	4.491404549
619	4.490530249
620	4.489590497
621	4.488583426
622	4.487334656
623	4.486534197
624	4.485490361
625	4.484640184
626	4.483551828
627	4.482415626
628	4.481516274
629	4.480350759
630	4.479347271
631	4.478406671
632	4.47774402
633	4.476343787
634	4.47521542
635	4.473963419
636	4.472965167
637	4.472010885
638	4.471216022
639	4.470322258
640	4.469122953
641	4.468119113
642	4.467078152
643	4.466089382
644	4.464807596
645	4.463740134
646	4.462934274
647	4.462255621
648	4.461106137
649	4.460191788
650	4.459555528
651	4.458812134
652	4.458061591
653	4.457078183
654	4.455763176
655	4.454375454
656	4.453999238
657	4.453004885
658	4.45227363
659	4.451293635
660	4.450433909
661	4.449346908
662	4.448669702
663	4.447565502
664	4.446463879
665	4.445454252
666	4.444482149
667	4.443757548
668	4.443087379
669	4.442005296
670	4.441219168
671	4.440464979
672	4.438999731
673	4.43803596
674	4.437010296
675	4.435985068
676	4.434854335
677	4.434069295
678	4.433281423
679	4.432451013
680	4.431685067
681	4.430567376
682	4.429610189
683	4.428858402
684	4.42805933
685	4.427225413
686	4.426083849
687	4.424567992
688	4.424063827
689	4.423124454
690	4.421939838
691	4.420960709
692	4.420140807
693	4.419184231
694	4.418306948
695	4.417321105
696	4.416268846
697	4.41542696
698	4.41470232
699	4.414034667
700	4.41314149
701	4.412228187
702	4.411400068
703	4.410635201
704	4.409750806
705	4.408916301
706	4.408227471
707	4.40724225
708	4.406330602
709	4.405524228
710	4.404786953
711	4.403769125
712	4.403202284
713	4.402278957
714	4.401438462
715	4.400358339
716	4.3995924
717	4.398701037
718	4.397745902
719	4.3970002
720	4.396004489
721	4.395313636
722	4.394373547
723	4.393539517
724	4.392768484
725	4.391606756
726	4.39048209
727	4.389545724
728	4.388621733
729	4.387713015
730	4.386920898
731	4.385583494
732	4.384468679
733	4.383576112
734	4.383074378
735	4.38250435
736	4.38151743
737	4.380527223
738	4.379779611
739	4.379182587
740	4.378707941
741	4.378072445
742	4.377252857
743	4.376294745
744	4.375541126
745	4.374881986
746	4.374194787
747	4.373437054
748	4.372689935
749	4.372021837
750	4.370994673
751	4.369938257
752	4.369121752
753	4.368317215
754	4.367401711
755	4.366631186
756	4.365856768
757	4.365189844
758	4.364098529
759	4.36350705
760	4.36272165
761	4.362181103
762	4.3614483
763	4.360690063
764	4.360238888
765	4.359439042
766	4.358554525
767	4.357611641
768	4.356990869
769	4.356406129
770	4.355680744
771	4.35504086
772	4.354391462
773	4.35357187
774	4.352883019
775	4.351983461
776	4.351029897
777	4.350556294
778	4.349559038
779	4.348852403
780	4.348199852
781	4.347449768
782	4.346552516
783	4.345530488
784	4.344908333
785	4.3443254
786	4.343625811
787	4.342703213
788	4.341705871
789	4.340572227
790	4.339502389
791	4.338535941
792	4.33743534
793	4.336458628
794	4.335886771
795	4.335324643
796	4.334719432
797	4.333994547
798	4.333275737
799	4.332108039
800	4.331507372
801	4.330577197
802	4.329725711
803	4.328908857
804	4.328010863
805	4.326883283
806	4.325864882
807	4.32519231
808	4.324241461
809	4.323482908
810	4.322593276
811	4.321767482
812	4.321118606
813	4.320669514
814	4.320061732
815	4.319235107
816	4.31827224
817	4.317336104
818	4.316715241
819	4.315931521
820	4.315553259
821	4.314703474
822	4.314270481
823	4.313506717
824	4.312587359
825	4.311553647
826	4.31078646
827	4.309545008
828	4.308872311
829	4.307976199
830	4.307084403
831	4.306184629
832	4.305547089
833	4.304574923
834	4.303810824
835	4.30285941
836	4.301807065
837	4.30091659
838	4.299927074
839	4.299128497
840	4.298284834
841	4.297477275
842	4.296845038
843	4.296234407
844	4.295662924
845	4.295094491
846	4.2942417
847	4.293377101
848	4.292831992
849	4.292209148
850	4.291372988
851	4.290679366
852	4.289820308
853	4.2888877
854	4.287887581
855	4.287369605
856	4.286897319
857	4.28605438
858	4.2852071
859	4.283926029
860	4.283219361
861	4.282541832
862	4.281617393
863	4.280840661
864	4.280021795
865	4.279337661
866	4.278642088
